timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri May 25 11:57:05 346 PDT 2018,2183,1512,96,880,912434979,2544890,685,3475,172,3278148284,33031740,5,172982094,5,0,19829,4158840832,131584,1279,0,38,1279,900620288,0,24
Fri May 25 11:57:25 421 PDT 2018,2182,1512,96,880,912443894,2544890,686,3475,172,3278148284,33031813,4,172982167,4,0,18413,4158840832,131584,964,0,35,964,900620288,0,28
Fri May 25 11:57:45 456 PDT 2018,2182,1513,96,880,912447556,2544890,686,3475,172,3278148284,33031901,3,172982255,3,0,17866,4158840832,131584,852,0,34,852,900620288,0,24
Fri May 25 11:58:05 495 PDT 2018,2182,1513,96,880,912443860,2544890,686,3475,172,3278148284,33031983,3,172982337,3,0,10469,4158840832,131584,749,0,20,749,900620288,0,22
Fri May 25 11:58:25 537 PDT 2018,2182,1513,96,880,912442135,2544892,686,3475,172,3278148710,33032072,4,172982426,4,0,18422,4158840832,131584,965,0,35,965,900620288,0,25
Fri May 25 11:58:45 569 PDT 2018,2183,1514,96,881,912452740,2544890,687,3477,172,3278148284,33032162,0,172982516,0,0,14818,4158840832,131584,216,0,28,216,900620288,0,29
Fri May 25 11:59:05 594 PDT 2018,2183,1514,96,881,912450628,2544890,687,3477,172,3278148284,33032244,6,172982598,6,0,19968,4158840832,131584,1288,0,39,1288,900620288,0,22
Fri May 25 11:59:25 619 PDT 2018,2183,1514,96,881,912450927,2544890,687,3477,172,3278148284,33032328,2,172982682,2,0,16862,4158840832,131584,641,0,32,641,900620288,0,21
Fri May 25 11:59:45 645 PDT 2018,2183,1514,96,881,912459508,2544890,688,3478,172,3278148284,33032410,4,172982764,4,0,18906,4158840832,131584,1069,0,36,1069,900620288,0,21
Fri May 25 12:00:05 683 PDT 2018,2185,1514,96,881,912459544,2544891,688,3480,172,3278149106,33032492,3,172982845,3,0,16351,4158840832,131584,853,0,31,853,900620288,0,23
Fri May 25 12:00:25 707 PDT 2018,2184,1514,96,881,912475440,2544901,688,3479,172,3278159370,33032588,5,172982941,5,0,19761,4158840832,131584,1588,0,37,1588,900620288,0,22
Fri May 25 12:00:45 738 PDT 2018,2183,1514,96,881,912476109,2544903,688,3478,172,3278161020,33032670,1,172983021,1,0,15730,4158840832,131584,425,0,30,425,900620288,0,23
Fri May 25 12:01:05 740 PDT 2018,2183,1514,96,881,912478013,2544906,688,3478,172,3278162470,33032756,10,172983107,10,0,22016,4158840832,131584,8659,0,43,2133,900620288,0,21
Fri May 25 12:01:25 806 PDT 2018,2183,1514,96,881,912471084,2544900,688,3478,172,3278157931,33032841,2,172983192,2,0,14848,4158840832,131584,3689,0,29,426,900620288,0,30
Fri May 25 12:01:45 872 PDT 2018,2183,1514,96,881,912462117,2544894,688,3478,172,3278151780,33032920,16,172983271,16,0,20992,4158840832,131584,3420,0,41,4284,900620288,0,32
Fri May 25 12:02:05 899 PDT 2018,2182,1513,96,881,912451685,2544894,687,3476,172,3278150968,33033000,6,172983351,6,0,18944,4158840832,131584,4544,0,37,1281,900620288,0,22
Fri May 25 12:02:26 131 PDT 2018,2182,1513,96,881,912451984,2544893,687,3476,172,3278150756,33033084,7,172983435,7,0,16896,4158840832,131584,1242,0,33,1878,900620288,0,27
Fri May 25 12:02:46 156 PDT 2018,2183,1514,96,881,912527843,2544895,688,3477,172,3278152400,33033171,7,172983520,6,0,62976,4158840832,131584,41134,0,44,41956,900620288,0,30
Fri May 25 12:03:06 207 PDT 2018,2183,1514,96,881,912529871,2544895,688,3478,172,3278152400,33033304,7,172983652,7,0,118784,4158840832,131584,93645,0,53,93645,900620288,0,23
Fri May 25 12:03:26 230 PDT 2018,2182,1514,96,880,912529871,2544895,688,3477,172,3278152400,33033428,7,172983776,7,0,54729,4158840832,131584,17357,0,75,17357,900620288,0,26
Fri May 25 12:03:46 250 PDT 2018,2182,1514,96,880,912529572,2544895,688,3477,172,3278152400,33033509,3,172983857,3,0,17884,4146063872,131584,853,0,34,853,900620288,0,24
Fri May 25 12:04:06 271 PDT 2018,2183,1514,96,880,912529924,2544897,688,3478,172,3278152826,33033591,6,172983939,6,0,27405,4146063872,131584,1287,0,53,1287,900620288,0,22
Fri May 25 12:04:26 293 PDT 2018,2184,1514,96,880,912529836,2544895,688,3479,172,3278152400,33033672,5,172984020,5,0,33758,4146063872,131584,1283,0,65,1283,900620288,0,21
Fri May 25 12:04:46 315 PDT 2018,2183,1514,96,880,912529836,2544895,688,3478,172,3278152400,33033752,3,172984100,3,0,15879,4146063872,131584,642,0,31,642,900620288,0,23
Fri May 25 12:05:06 337 PDT 2018,2183,1514,96,880,912529836,2544895,688,3478,172,3278152400,33033832,2,172984180,2,0,15872,4146063872,131584,430,0,31,430,900620288,0,24
Fri May 25 12:05:26 345 PDT 2018,2184,1514,96,880,912547228,2544905,688,3479,172,3278162664,33033929,5,172984277,5,0,19968,4146063872,131584,1585,0,38,1585,900620288,0,22
Fri May 25 12:05:46 324 PDT 2018,2183,1514,96,880,912547228,2544905,688,3478,172,3278162664,33034009,4,172984357,4,0,18243,4146063872,131584,3240,0,35,1067,900620288,0,23
Fri May 25 12:06:06 324 PDT 2018,2184,1514,96,880,912549396,2544906,688,3479,172,3278163688,33034089,3,172984437,3,0,17902,4146063872,131584,854,0,34,854,900620288,0,40
Fri May 25 12:06:26 307 PDT 2018,2184,1515,96,881,912542767,2544896,689,3480,172,3278153424,33034178,4,172984526,4,0,18468,4146063872,131584,967,0,36,967,900620288,0,24
