timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Apr 27 15:25:12 495 PDT 2018,2105,1280,93,858,780119338,2181583,675,3312,164,2880702618,24449903,4,164918112,4,0,19968,3833534976,131584,846,0,39,846,805775360,0,15
Fri Apr 27 15:25:32 517 PDT 2018,2105,1280,93,858,780119338,2181583,675,3312,164,2880702619,24450009,3,164918218,3,0,18688,3833534976,131584,638,0,36,638,805775360,0,14
Fri Apr 27 15:25:52 564 PDT 2018,2105,1280,93,858,780135156,2181592,675,3312,164,2880712679,24450116,4,164918325,4,0,30720,3833534976,131584,8569,0,45,8569,805775360,0,16
Fri Apr 27 15:26:12 584 PDT 2018,2105,1280,93,858,780135156,2181592,675,3312,164,2880712679,24450202,2,164918411,2,0,18602,3833534976,131584,569,0,36,569,805775360,0,17
Fri Apr 27 15:26:32 573 PDT 2018,2104,1280,93,858,780137585,2181592,675,3311,164,2880712679,24450296,5,164918505,5,0,20992,3833534976,131584,1060,0,41,1060,805775360,0,15
Fri Apr 27 15:26:52 634 PDT 2018,2104,1280,93,858,780121157,2181583,675,3311,164,2880703432,24450379,7,164918588,7,0,32768,3833534976,131584,8386,0,51,8386,805775360,0,16
Fri Apr 27 15:27:12 652 PDT 2018,2105,1280,93,858,780121155,2181583,675,3312,164,2880703430,24450461,5,164918670,5,0,20992,3833534976,131584,1060,0,41,1060,805775360,0,15
Fri Apr 27 15:27:32 685 PDT 2018,2104,1280,93,858,780120857,2181584,675,3311,164,2880703647,24450548,2,164918757,2,0,18432,3833534976,131584,431,0,36,431,805775360,0,14
Fri Apr 27 15:27:52 726 PDT 2018,2104,1280,93,858,780119603,2181582,675,3311,164,2880702405,24450633,0,164918842,0,0,16879,3833534976,131584,216,0,32,216,805775360,0,16
Fri Apr 27 15:28:12 756 PDT 2018,2105,1280,93,858,780119603,2181582,675,3312,164,2880702405,24450715,1,164918924,1,0,16896,3833534976,131584,217,0,33,217,805775360,0,15
Fri Apr 27 15:28:32 807 PDT 2018,2105,1280,93,858,780120043,2181585,675,3312,164,2880703034,24450805,2,164919014,2,0,17920,3833534976,131584,431,0,35,431,805775360,0,14
Fri Apr 27 15:28:52 828 PDT 2018,2104,1280,93,858,780119339,2181583,675,3311,164,2880702622,24450882,1,164919091,1,0,16896,3833534976,131584,217,0,33,217,805775360,0,14
Fri Apr 27 15:29:12 846 PDT 2018,2104,1280,93,858,780120219,2181582,675,3311,164,2880702405,24450972,3,164919181,3,0,19446,3833534976,131584,744,0,37,744,805775360,0,15
Fri Apr 27 15:29:32 871 PDT 2018,2104,1280,93,858,780121451,2181582,675,3311,164,2880702405,24451066,4,164919275,4,0,20971,3833534976,131584,1058,0,40,1058,805775360,0,15
Fri Apr 27 15:29:52 904 PDT 2018,2104,1280,93,858,780121451,2181582,675,3311,164,2880702405,24451148,2,164919357,2,0,17408,3833534976,131584,431,0,34,431,805775360,0,17
Fri Apr 27 15:30:12 936 PDT 2018,2105,1280,93,858,780119603,2181582,675,3312,164,2880702405,24451231,2,164919440,2,0,18602,3833534976,131584,569,0,36,569,805775360,0,15
Fri Apr 27 15:30:32 955 PDT 2018,2104,1280,93,858,780119339,2181583,675,3311,164,2880702619,24451325,6,164919534,6,0,22016,3833534976,131584,1278,0,43,1278,805775360,0,15
Fri Apr 27 15:30:52 974 PDT 2018,2104,1280,93,858,780134893,2181592,675,3311,164,2880712679,24451417,5,164919626,5,0,20992,3833534976,131584,1064,0,41,1064,805775360,0,15
Fri Apr 27 15:31:13 009 PDT 2018,2104,1280,93,858,780136389,2181592,675,3311,164,2880712679,24451499,2,164919708,2,0,17920,3833534976,131584,435,0,35,435,805775360,0,22
Fri Apr 27 15:31:33 029 PDT 2018,2104,1280,93,858,780135773,2181592,675,3311,164,2880712679,24451589,4,164919798,4,0,25088,3833534976,131584,4410,0,42,4410,805775360,0,15
Fri Apr 27 15:31:53 065 PDT 2018,2104,1280,93,858,780121158,2181583,675,3311,164,2880703432,24451675,4,164919884,4,0,25382,3833534976,131584,4415,0,43,4415,805775360,0,15
Fri Apr 27 15:32:13 071 PDT 2018,2105,1280,93,858,780121156,2181583,675,3312,164,2880703430,24451758,4,164919967,4,0,30689,3833534976,131584,7967,0,46,7967,805775360,0,15
Fri Apr 27 15:32:33 106 PDT 2018,2105,1280,93,858,780124758,2181583,675,3312,164,2880703430,24451854,6,164920063,6,0,22016,3833534976,131584,1278,0,43,1278,805775360,0,16
Fri Apr 27 15:32:53 132 PDT 2018,2104,1280,93,858,780120741,2181582,675,3311,164,2880702405,24451934,3,164920143,3,0,19465,3833534976,131584,747,0,38,747,805775360,0,17
Fri Apr 27 15:33:13 134 PDT 2018,2105,1280,93,858,780121357,2181582,675,3312,164,2880702405,24452015,5,164920224,5,0,20992,3833534976,131584,1064,0,41,1064,805775360,0,15
