timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Feb 23 14:51:07 266 PST 2018,2224,958,103,840,141357759,375582,663,3237,162,570057270,582709,8,141754585,936,1147874,14080,1997796352,131584,1383866,927,27,2173,132769792,0,12
Fri Feb 23 14:51:27 307 PST 2018,2220,959,103,840,140084091,372501,665,3237,162,564928149,582815,2,141778605,1112,1373736,12288,1997796352,131584,1367506,1110,24,430,132769792,0,8
Fri Feb 23 14:51:47 319 PST 2018,2218,959,103,840,140081263,372492,666,3238,162,564918896,582903,3,141803712,1060,1308940,13345,1997796352,131584,1303232,1057,26,638,132769792,0,8
Fri Feb 23 14:52:07 319 PST 2018,2218,959,103,840,140088553,372491,667,3240,162,564918202,583001,2,141824103,967,1194284,12288,1997796352,131584,1188924,965,24,430,132769792,0,13
Fri Feb 23 14:52:27 329 PST 2018,2223,960,103,840,140079356,372490,666,3239,162,564917292,583102,5,141848068,1395,1720264,14336,1997796352,131584,1714587,1390,25,2663,132769792,0,12
Fri Feb 23 14:52:47 337 PST 2018,2220,960,103,840,140077187,372489,666,3238,162,564914739,583196,3,141871286,1403,1732640,13824,1997796352,131584,1724985,1400,27,745,132769792,0,12
Fri Feb 23 14:53:07 352 PST 2018,2218,960,103,840,140076977,372485,666,3238,162,564912376,583287,2,141893487,1002,1237600,12288,1997796352,131584,1232030,1000,24,430,132769792,0,13
Fri Feb 23 14:53:27 373 PST 2018,2216,960,103,840,140066514,372480,665,3237,162,564907920,583406,2,141917566,1152,1423240,1856000,1997796352,131584,1416770,1150,26,430,132769792,0,7
Fri Feb 23 14:53:47 379 PST 2018,2222,962,103,840,140077184,372480,666,3240,162,564907886,583501,1,141942878,1253,1548545,12531,1997796352,131584,1541463,1251,24,425,132769792,0,12
Fri Feb 23 14:54:07 456 PST 2018,2223,962,103,840,140087173,372478,667,3243,162,564905941,583588,1,141962295,686,847756,11264,1997796352,131584,843863,685,22,217,132769792,0,66
Fri Feb 23 14:54:27 468 PST 2018,2217,962,103,838,140075160,372476,666,3239,162,564903995,583678,5,141983850,2137,2637863,21749,1997796352,131584,2626348,2131,42,1274,132769792,0,12
Fri Feb 23 14:54:47 475 PST 2018,2215,962,103,838,140074456,372474,666,3239,162,564902051,583761,3,142008398,1023,1262352,13312,1997796352,131584,1256866,1020,26,634,132769792,0,13
Fri Feb 23 14:55:07 490 PST 2018,2222,962,103,839,140072256,372473,666,3240,162,564900312,583852,3,142032609,977,1204998,13828,1997796352,131584,1204111,973,26,4954,132769792,0,12
Fri Feb 23 14:55:27 493 PST 2018,2219,962,103,838,140071552,372471,666,3239,162,564898378,583940,5,142057942,1620,1998724,15360,1997796352,131584,1990094,1615,30,1060,132769792,0,14
Fri Feb 23 14:55:47 513 PST 2018,2217,962,103,838,140051420,372477,666,3239,162,564905466,584041,0,142081738,1527,1889748,11241,1997796352,131584,1880803,1526,21,216,132769792,0,12
Fri Feb 23 14:56:07 528 PST 2018,2217,962,103,838,140061151,372476,667,3241,162,564904551,584132,1,142103709,554,683774,6912,1997796352,131584,680780,552,13,321,132769792,0,14
Fri Feb 23 14:56:27 566 PST 2018,2222,962,103,838,140051303,372475,666,3240,162,564902824,584224,5,142128191,1005,1237600,15360,1997796352,131584,1232660,1000,30,1060,132769792,0,14
Fri Feb 23 14:56:47 585 PST 2018,2219,962,103,838,140037801,372464,666,3239,162,564892438,584320,3,142152692,959,1183091,13837,1997796352,131584,1178062,955,27,707,132769792,0,13
