timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Apr 27 15:26:32 582 PDT 2018,413,403,9,572,252147102,512990,172,974,0,4998600777,2098126579,8,2097734274,8,0,8192,5217499648,2048,3792,0,16,3792,295049216,0,7
Fri Apr 27 15:26:52 634 PDT 2018,413,403,9,572,252155982,512990,173,975,0,4998600777,2098126770,7,2097734465,7,0,8175,5217499648,2048,3784,0,15,3784,295049216,0,12
Fri Apr 27 15:27:12 668 PDT 2018,413,403,9,572,252155948,512990,173,975,0,4998600777,2098126949,8,2097734644,8,0,8982,5217499648,2048,4009,0,17,4009,295049216,0,12
Fri Apr 27 15:27:32 700 PDT 2018,432,403,9,572,252200031,512989,178,994,0,4998561265,2098127164,9,2097734864,9,0,10209,5217499648,2048,4725,0,19,4725,295049216,0,9
Fri Apr 27 15:27:52 726 PDT 2018,433,403,9,572,252208876,512989,179,995,0,4998561265,2098127352,4,2097735052,4,0,5102,5217499648,2048,2361,0,9,2361,295049216,0,13
Fri Apr 27 15:28:12 772 PDT 2018,434,403,9,572,252217756,512988,180,996,0,4998532683,2098127505,9,2097735205,9,0,8192,5217499648,2048,3959,0,16,4108,295049216,0,13
Fri Apr 27 15:28:32 823 PDT 2018,443,403,9,572,252234812,512987,182,1005,0,4998522184,2098127695,8,2097735400,8,0,8216,5217499648,2048,3803,0,16,3803,295049216,0,14
Fri Apr 27 15:28:52 843 PDT 2018,443,403,9,572,252234812,512987,182,1005,0,4998522184,2098127876,8,2097735581,8,0,8192,5217499648,2048,3792,0,16,3792,295049216,0,12
Fri Apr 27 15:29:12 862 PDT 2018,457,404,9,573,252379611,512981,192,1022,0,4998484833,2098128104,16,2097735803,14,0,104448,5217499648,2048,175302,0,39,90699,295049216,0,7
Fri Apr 27 15:29:32 887 PDT 2018,502,403,9,572,252405899,512980,195,1069,0,4998478237,2098128357,8,2097736061,8,0,8192,5217499648,2048,3792,0,16,3792,295049216,0,7
Fri Apr 27 15:29:52 920 PDT 2018,522,403,9,572,252414779,512980,196,1089,0,4998478237,2098128561,7,2097736265,7,0,8175,5217499648,2048,3784,0,15,3784,295049216,0,12
Fri Apr 27 15:30:12 952 PDT 2018,530,403,9,572,252459179,512980,201,1099,0,4998478237,2098128777,9,2097736481,9,0,10229,5217499648,2048,4735,0,19,4735,295049216,0,12
Fri Apr 27 15:30:32 970 PDT 2018,530,403,9,572,252458862,512979,201,1099,0,4998465852,2098128978,10,2097736687,10,0,10240,5217499648,2048,4740,0,20,4740,295049216,0,12
Fri Apr 27 15:30:52 990 PDT 2018,530,403,9,572,252458862,512979,201,1099,0,4998465852,2098129179,7,2097736888,7,0,8183,5217499648,2048,3788,0,15,3788,295049216,0,12
Fri Apr 27 15:31:13 025 PDT 2018,535,403,9,572,252476587,512979,203,1105,0,4998465852,2098129389,12,2097737098,12,27300,26447,5217499648,2048,6853,1,51,5196,295049216,0,12
Fri Apr 27 15:31:33 045 PDT 2018,552,403,9,572,252300677,512789,207,1126,0,4998348008,2098129623,9,2097737540,23,0,9239,5217499648,2048,12543,0,18,4276,295049216,0,12
Fri Apr 27 15:31:53 065 PDT 2018,553,403,9,572,257576119,516552,208,1128,0,5001627741,2098134803,6,2097738975,100,0,6817,5217499648,2048,83575,0,13,3250,295049216,0,12
